"Version 2.7, Mid Year Update - Professional Services and Supplies Charge Table, Including Ambulance",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,"Technical, Professional Indicator",Service Category Code,Primary/Bundled Indicator,Charge Type Indicator,Work Expense Units,Provider-Based Practice Expense Units,Non-Provider-Based Practice Expense Units,Total Expense Units, Anesthesia Base Units,Unit Charge,Base Charge,Unit Type,Facility Indicator,Outpatient Indicator,Inpatient Indicator,Skilled Nursing Facility Carveout,Freestanding Carve-out,Start Date
00100,CPT,Anes-Proc Salivary Glands Incl Bx,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20060825
00102,CPT,Anes-Proc Plastic Repair Cleft Lip,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20060825
00103,CPT,Anes-Reconstructive Proc Eyelid,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20060825
00104,CPT,Anes-Electroculvulsive Therapy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20060825
00120,CPT,Anes-Ext Mid&Innr Ear W/Bx; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20060825
00124,CPT,Anes-Ext Mid&Innr Ear W/Bx; Otscpy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20060825
00126,CPT,Anes-Ext Mid&Innr Ear W/Bx; Tympnot,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20060825
00140,CPT,Anesthesia Procedures On Eye; Nos,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20060825
00142,CPT,Anesthesia Proc Eye; Lens Surgery,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20060825
00144,CPT,Anes-Proc Eye; Corneal Transplant,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20060825
00145,CPT,Anes-Proc Eye; Vitreoretinal Surg,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20060825
00147,CPT,Anesthesia Proc Eye; Iridectomy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20060825
00148,CPT,Anesthesia Proc Eye; Ophthalmoscopy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20060825
