"Version 2.7, Mid Year Update - Outpatient Facility",,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date
10021,CPT,Fna w/o image,,30,1,1,$243.49 ,$0.00,1,0,1,20060825
10022,CPT,Fna w/image,,30,1,1,$457.00 ,$0.00,1,0,1,20060825
10040,CPT,Acne surgery,,30,1,1,$195.24 ,$0.00,1,0,1,20060825
10060,CPT,Drainage of skin abscess,,30,1,1,$497.85 ,$0.00,1,0,1,20060825
10061,CPT,Drainage of skin abscess,,30,1,1,$497.85 ,$0.00,1,0,1,20060825
10080,CPT,Drainage of pilonidal cyst,,30,1,1,$497.85 ,$0.00,1,0,1,20060825
10081,CPT,Drainage of pilonidal cyst,,30,1,1,"$3,544.83 ",$0.00,1,0,1,20060825
10120,CPT,Remove foreign body,,30,1,1,$497.85 ,$0.00,1,0,1,20060825
10121,CPT,Remove foreign body,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
10140,CPT,Drainage of hematoma/fluid,,30,1,1,"$3,544.83 ",$0.00,1,0,1,20060825
10160,CPT,Puncture drainage of lesion,,30,1,1,$276.50 ,$0.00,1,0,1,20060825
10180,CPT,"Complex drainage, wound",,30,1,1,"$3,544.83 ",$0.00,1,0,1,20060825
11000,CPT,Debride infected skin,,30,1,1,$480.57 ,$0.00,1,0,1,20060825
11001,CPT,Debride infected skin add-on,,30,1,1,$229.31 ,$0.00,1,0,1,20060825
11010,CPT,"Debride skin, fx",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11011,CPT,"Debride skin/muscle, fx",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11012,CPT,"Debride skin/muscle/bone, fx",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11040,CPT,"Debride skin, partial",,30,1,1,$480.57 ,$0.00,1,0,1,20060825
11041,CPT,"Debride skin, full",,30,1,1,$480.57 ,$0.00,1,0,1,20060825
11042,CPT,Debride skin/tissue,,30,1,1,$774.62 ,$0.00,1,0,1,20060825
11043,CPT,Debride tissue/muscle,,30,1,1,$774.62 ,$0.00,1,0,1,20060825
11044,CPT,Debride tissue/muscle/bone,,30,1,1,"$2,425.17 ",$0.00,1,0,1,20060825
11055,CPT,Trim skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20060825
11056,CPT,"Trim skin lesions, 2 to 4",,30,1,1,$229.31 ,$0.00,1,0,1,20060825
11057,CPT,"Trim skin lesions, over 4",,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11100,CPT,"Biopsy, skin lesion",,30,1,1,$276.50 ,$0.00,1,0,1,20060825
11101,CPT,"Biopsy, skin add-on",,30,1,1,$276.50 ,$0.00,1,0,1,20060825
11200,CPT,Removal of skin tags,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11201,CPT,Remove skin tags add-on,,30,1,1,$480.57 ,$0.00,1,0,1,20060825
11300,CPT,Shave skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20060825
11301,CPT,Shave skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20060825
11302,CPT,Shave skin lesion,,30,1,1,$229.31 ,$0.00,1,0,1,20060825
11303,CPT,Shave skin lesion,,30,1,1,$480.57 ,$0.00,1,0,1,20060825
11305,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11306,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11307,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11308,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11310,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11311,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11312,CPT,Shave skin lesion,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11313,CPT,Shave skin lesion,,30,1,1,$774.62 ,$0.00,1,0,1,20060825
11400,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11401,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11402,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11403,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11404,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
11406,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
11420,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11421,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11422,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11423,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11424,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
11426,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11440,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11441,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11442,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11443,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11444,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11446,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11450,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11451,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11462,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11463,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11470,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11471,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11600,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11601,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11602,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11603,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11604,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11606,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
11620,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11621,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11622,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11623,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
11624,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
11626,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11640,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11641,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11642,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11643,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20060825
11644,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20060825
11646,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11719,CPT,Trim nail(s),,30,1,1,$200.16 ,$0.00,1,0,1,20060825
11720,CPT,"Debride nail, 1-5",,30,1,1,$200.16 ,$0.00,1,0,1,20060825
11721,CPT,"Debride nail, 6 or more",,30,1,1,$200.16 ,$0.00,1,0,1,20060825
11730,CPT,Removal of nail plate,,30,1,1,$337.02 ,$0.00,1,0,1,20060825
11732,CPT,"Remove nail plate, add-on",,30,1,1,$229.31 ,$0.00,1,0,1,20060825
11740,CPT,Drain blood from under nail,,30,1,1,$200.16 ,$0.00,1,0,1,20060825
11750,CPT,Removal of nail bed,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11752,CPT,Remove nail bed/finger tip,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11755,CPT,"Biopsy, nail unit",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20060825
11760,CPT,Repair of nail bed,,30,1,1,$503.73 ,$0.00,1,0,1,20060825
11762,CPT,Reconstruction of nail bed,,30,1,1,$503.73 ,$0.00,1,0,1,20060825
11765,CPT,"Excision of nail fold, toe",,30,1,1,$480.57 ,$0.00,1,0,1,20060825
11770,CPT,Removal of pilonidal lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
11771,CPT,Removal of pilonidal lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20060825
