Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
001,DRG,CRANIOTOMY AGE >17 W CC,S,"$1,440.98 ","$5,762.88 ","$3,049.48 ","$5,762.88 ",20060825
002,DRG,CRANIOTOMY AGE >17 W/O CC,S,"$1,498.02 ","$8,415.51 ","$3,236.62 ","$8,415.51 ",20060825
003,DRG,CRANIOTOMY AGE 0-17,S,"$1,618.21 ","$7,016.24 ","$3,475.87 ","$7,016.24 ",20060825
006,DRG,CARPAL TUNNEL RELEASE,S,"$1,210.17 ","$4,233.28 ","$2,262.10 ","$4,233.28 ",20060825
007,DRG,PERIPH & CRANIAL NERVE & OTHER NERV SYST PROC W CC,S,"$1,345.87 ","$4,013.20 ","$2,593.20 ","$4,013.20 ",20060825
008,DRG,PERIPH & CRANIAL NERVE & OTHER NERV SYST PROC W/O CC,S,"$1,421.72 ","$11,875.34 ","$2,918.28 ","$11,875.34 ",20060825
009,DRG,SPINAL DISORDERS & INJURIES,N,"$1,123.53 ","$1,863.42 ","$2,974.49 ","$1,863.42 ",20060825
010,DRG,NERVOUS SYSTEM NEOPLASMS W CC,N,"$1,395.10 ","$2,642.38 ","$2,783.69 ","$2,642.38 ",20060825
011,DRG,NERVOUS SYSTEM NEOPLASMS W/O CC,N,"$1,377.16 ","$3,055.99 ","$2,662.32 ","$3,055.99 ",20060825
012,DRG,DEGENERATIVE NERVOUS SYSTEM DISORDERS,N,"$1,261.50 ","$1,171.79 ","$2,232.75 ","$1,171.79 ",20060825
013,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA,N,"$1,326.52 ","$2,042.80 ","$2,462.11 ","$2,042.80 ",20060825
014,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,N,"$1,214.29 ","$2,793.20 ","$2,490.49 ","$2,793.20 ",20060825
015,DRG,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT,N,"$1,025.88 ","$2,429.38 ","$2,173.96 ","$2,429.38 ",20060825
016,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,N,"$1,176.30 ","$2,596.28 ","$2,182.80 ","$2,596.28 ",20060825
017,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC,N,"$1,247.24 ","$2,715.25 ","$2,252.69 ","$2,715.25 ",20060825
018,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W CC,N,"$1,187.06 ","$2,427.00 ","$2,182.43 ","$2,427.00 ",20060825
019,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W/O CC,N,"$1,336.07 ","$2,823.70 ","$2,579.64 ","$2,823.70 ",20060825
020,DRG,NERVOUS SYSTEM INFECTION EXCEPT VIRAL MENINGITIS,N,"$1,236.18 ","$3,603.85 ","$2,672.30 ","$3,603.85 ",20060825
021,DRG,VIRAL MENINGITIS,N,"$1,216.50 ","$3,585.20 ","$2,469.85 ","$3,585.20 ",20060825
022,DRG,HYPERTENSIVE ENCEPHALOPATHY,N,"$1,149.00 ","$2,958.77 ","$2,237.10 ","$2,958.77 ",20060825
023,DRG,NONTRAUMATIC STUPOR & COMA,N,"$1,379.64 ","$2,834.92 ","$2,641.06 ","$2,834.92 ",20060825
024,DRG,SEIZURE & HEADACHE AGE >17 W CC,N,"$1,285.10 ","$2,788.62 ","$2,390.49 ","$2,788.62 ",20060825
025,DRG,SEIZURE & HEADACHE AGE >17 W/O CC,N,"$1,404.77 ","$2,862.59 ","$2,524.55 ","$2,862.59 ",20060825
026,DRG,SEIZURE & HEADACHE AGE 0-17,N,"$1,987.25 ","$5,272.39 ","$4,586.14 ","$5,272.39 ",20060825
027,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR",N,"$1,348.40 ","$3,615.44 ","$3,212.05 ","$3,615.44 ",20060825
028,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE >17 W CC",N,"$1,367.70 ","$2,877.56 ","$3,106.02 ","$2,877.56 ",20060825
